to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,specia
4678,L,3.00,ANTH 207,Anthro & Global Issues,POL 202,4672,,Contemporary Global Issues,
4678,L,4.00,POLS 114,American Government & Pol,POL 203,4672,"UCTA,EC,SB",Am Nat/St/Locl Gov,22
4678,,3.00,POLS EL,Political Science Elective,POL 205,4672,,Women and Politics (Es),
4678,L,3.00,POLS 225,Public Administration,POL 211,4672,,Intro Public Admin,
4678,,3.00,POLS EL,Political Science Elective,POL 221,4672,,The American Legal System,
4678,,3.00,POLS EL,Political Science Elective,POL 222,4672,,"Law, Governance and Politics",
4678,,3.00,POLS EL,Political Science Elective,POL 231,4672,,Intro Compar Pol,
4678,L,3.00,POLS 230,Intro to Pol Philosophy,POL 234,4672,"EC,HF",Comparative Politics,
4678,U,3.00,POLS 365,American Foreign Policy,POL 241,4672,,Amer Forgn Polcy I,
4678,U,3.00,POLS 360,International Relations Theor,POL 243,4672,,Interntl Relations,
4678,U,3.00,POLS 377,The United Nations,POL 246,4672,,Model Un: the Un System,
4678,,1.00-2.00,GEN EL,General Elective,POL 250,4672,,Leadership and Engagement,8
4678,,3.00,POLS EL,Political Science Elective,POL 251,4672,,Political Theory,
4678,,2.00,GEN EL,General Elective,PT 200,4672,,Intro to P-T,
4678,,3.00,P ED CONF,Physical Education-Coed (Professional) Confer,RTH 203,4672,,Outdr Recr-Persons Spec Need,
4678,,2.00,P ED CONF,Physical Education-Coed (Professional) Confer,RTH 204,4672,,Multicultrl Crafts,
4678,,1.00,P ED CONF,Physical Education-Coed (Professional) Confer,RTH 215,4672,,Adapt Aquatic Acts,
4678,,1.00-2.00,P ED CONF,Physical Education-Coed (Professional) Confer,RTH 216,4672,,Ski Tq/Vis/Phy Imp,8
4678,,1.00,P ED CONF,Physical Education-Coed (Professional) Confer,RTH 217,4672,,Org/Coach Spc Olym,
